text_file,audio_file,wer,edit_distance,ref_words,reference,hypothesis
text_fileid_0_doa73_spk1.txt,enhanced_fileid_0_doa73_spk1.wav,0.02631578947368421,1,38,BUT BEFORE HIS ARRIVAL LIFE WAS EXTINCT THE COUNT IS INSANE WITH GRIEF MORE ESPECIALLY BECAUSE THE MAID DISCOVERED THAT HER LADYSHIP HAD LEFT A LETTER TO SOME MAN SHE CALLS DICK TELLING HIM THAT SHE LOVED HIM,"But before his arrival, Mike was extinct. The Count is insane with grief, more especially because the maid discovered that her ladyship had left a letter to some man she calls Dick, telling him that she loved him."
text_fileid_1000_doa118_spk1.txt,enhanced_fileid_1000_doa118_spk1.wav,0.05263157894736842,2,38,WHERE FALLEN INTO AN ABSOLUTE HEAP OF DEJECTION WITH HIS LEGS TIGHTLY PINIONED TOGETHER AND HIS MOUTH GAGGED LAY THE UNFORTUNATE DESCENDANT OF ISRAEL HIS FACE IN THE SILVERY LIGHT OF THE MOON LOOKED POSITIVELY GHASTLY WITH TERROR,"Where fallen into an absolute heap of dejection, with his legs tightly pinioned together and his mouth gagged, lay the unfortunate descendant of Israel. His face in the silver line of the moon looked positively ghastly with terror."
text_fileid_1001_doa200_spk1.txt,enhanced_fileid_1001_doa200_spk1.wav,0.12121212121212122,4,33,I DUNNO SAID RONICKY DOONE SMILING FAINTLY AT THE COOLNESS OF THE OTHER WHAT DO YOU THINK ABOUT IT MEANING THAT I'M LIABLE TO PUT AN END TO YOUR STAY MAYBE TUSH TUSH,i don't know said ronicky doon smiling faintly at the coolless of the other what do you think about it meaning that i'm liable to put an end to your stay maybe tush tush
text_fileid_1002_doa130_spk1.txt,enhanced_fileid_1002_doa130_spk1.wav,0.0,0,50,LITTLE HOWEVER FOR THE PRESENT HAD COME OF HIS OFFERS AND IT MAY BE CONFIDED TO THE READER THAT IF THE YOUNG MAN DELAYED TO CARRY THEM OUT IT WAS BECAUSE HE FOUND THE LABOUR OF PROVIDING FOR HIS COMPANION BY NO MEANS SO SEVERE AS TO REQUIRE EXTRANEOUS HELP,little however for the present had come of his offers and it may be confided to the reader that if the young man delayed to carry them out it was because he found the labour of providing for his companion by no means so severe as to require extraneous help
text_fileid_1003_doa311_spk1.txt,enhanced_fileid_1003_doa311_spk1.wav,0.13157894736842105,5,38,OF COURSE THAT BOLD GIRL CONTRIVED TO ATTRACT YOUR NOTICE I REPLIED THAT I HAD MET WITH THE BOLD GIRL PURELY BY ACCIDENT ON HER SIDE AS WELL AS ON MINE AND THEN I STARTED A NEW TOPIC,"Of course the bald girl can try to attract your notice. I replied that I had met with the bald girl purely by accident, on her side as well as on mine. And then I started a new topic."
text_fileid_1004_doa93_spk1.txt,enhanced_fileid_1004_doa93_spk1.wav,0.0,0,51,THAT SHE HID HIM AWAY FROM PEOPLE ALL THE DAINTIES SHE BROUGHT DOWN FROM THE BIG HOUSE WERE FOR THE BLIND CHILD AND SHE BEAT AND CUFFED HER OTHER CHILDREN WHENEVER SHE FOUND THEM TEASING HIM OR TRYING TO GET HIS CHICKEN BONE AWAY FROM HIM HE BEGAN TO TALK EARLY,"that she hid him away from people. All the dainties she brought down from the big house were for the blind child, and she beat and cuffed her other children whenever she found them teasing him, or trying to get his chicken bone away from him. He began to talk early."
text_fileid_1005_doa279_spk1.txt,enhanced_fileid_1005_doa279_spk1.wav,0.05714285714285714,2,35,WE ARE STILL LEFT IN THE DARK IT IS TRUE AS TO KEATS'S RACE AND DESCENT WHETHER KEATS'S FATHER CAME TO LONDON FROM CORNWALL OR NOT SIR SIDNEY HAS NOT BEEN ABLE TO DECIDE ON,"We are still left in the dark, it is true, as to Keats' race and descent. Whether Keats' father came to London from Cornwall or not, Sir Sidney has not been able to decide on..."
text_fileid_1006_doa74_spk1.txt,enhanced_fileid_1006_doa74_spk1.wav,0.0,0,49,SHE WAS THE FOREST MAIDEN'S FAIRY GODMOTHER AND WHEN SHE WAS NO LONGER NEEDED TO LOOK AFTER THE GIRL SHE GLADLY RETURNED TO FAIRYLAND THE OLD KING HAS NEVER BEEN HEARD TO CONTRADICT HIS WIFE ANY MORE IF HE EVEN LOOKS AS IF HE DOES NOT AGREE WITH HER,she was the forest maiden's fairy godmother and when she was no longer needed to look after the girl she gladly returned to fairyland the old king has never been heard to contradict his wife any more if he even looks as if he does not agree with her
text_fileid_1007_doa357_spk1.txt,enhanced_fileid_1007_doa357_spk1.wav,0.0,0,40,COULD ASSEMBLE ABOUT AN EQUAL NUMBER OF WARRIORS WITH THE LATTER PEOPLE LIKE THEIR NEIGHBORS THEY HAD FOLLOWED MONTCALM INTO THE TERRITORIES OF THE ENGLISH CROWN AND WERE MAKING HEAVY AND SERIOUS INROADS ON THE HUNTING GROUNDS OF THE MOHAWKS,could assemble about an equal number of warriors with the latter people like their neighbors they had followed montcalm into the territories of the english crown and were making heavy and serious inroads on the hunting grounds of the mohawks
text_fileid_1008_doa321_spk1.txt,enhanced_fileid_1008_doa321_spk1.wav,0.09523809523809523,4,42,THEN ONE OF THESE GREAT ANIMALS STOOPED OVER AND PICKED HIM UP AND HELD HIM BOTTOM SIDE UPPERMOST AND RAPPED ON THAT SIDE WHICH WAS FLAT AND ON THE OTHER SIDE WHICH WAS ROUNDED AND STARED AT HIM WITH TWO GREAT EYES,"Then one of these grey animals stepped over and picked him up, and held him bottom side uppermost, and wrapped on that side, which was flat, and on the other side, which was rounded, and stared at him with two grey eyes."
